id_number,Binomial_n10_p_one_half,Poisson_Lambda3,Uniform_Int
0,3,1,10
1,5,1,1
2,2,2,95
3,5,5,63
4,6,1,47
5,3,4,11
6,3,4,52
7,2,1,15
8,6,5,68
9,5,2,98
10,6,1,78
11,5,2,4
12,1,2,83
13,6,3,28
14,5,2,71
15,4,3,1
16,5,5,97
17,8,1,4
18,7,3,23
19,2,0,20
20,4,3,90
21,4,1,47
22,6,3,38
23,8,7,69
24,6,1,79
25,7,0,88
26,4,5,90
27,7,3,22
28,4,3,81
29,3,4,50
30,3,3,96
31,4,7,30
32,3,2,63
33,6,3,34
34,9,2,74
35,5,2,13
36,4,3,34
37,6,4,83
38,5,3,21
39,5,1,58
40,8,3,84
41,1,7,58
42,4,2,3
43,8,4,89
44,5,2,66
45,4,2,92
46,4,4,58
47,3,3,79
48,5,2,21
49,5,0,49
50,3,5,13
51,6,1,21
52,3,6,91
53,6,3,11
54,6,2,55
55,6,3,91
56,5,1,71
57,4,4,14
58,5,3,54
59,4,2,95
60,8,7,53
61,5,3,33
62,3,5,47
63,4,1,81
64,3,6,42
65,7,1,67
66,5,4,26
67,3,1,25
68,5,2,90
69,3,2,9
70,7,6,99
71,6,3,58
72,5,3,80
73,8,2,62
74,6,0,87
75,4,3,65
76,6,2,26
77,3,3,31
78,9,2,45
79,5,4,84
80,4,6,26
81,5,1,24
82,4,5,2
83,5,2,64
84,6,3,15
85,4,4,8
86,6,4,97
87,4,3,13
88,3,4,85
89,5,3,59
90,7,2,1
91,4,2,49
92,2,1,89
93,5,4,96
94,5,6,43
95,4,3,68
96,3,4,21
97,5,2,79
98,5,5,13
99,4,4,22
100,4,2,92
101,2,8,0
102,3,4,61
103,5,1,61
104,5,5,38
105,5,4,90
106,3,0,32
107,4,4,6
108,6,1,91
109,4,2,31
110,3,4,12
111,3,5,49
112,6,7,91
113,6,2,46
114,6,2,88
115,5,7,73
116,8,3,54
117,6,1,32
118,4,6,37
119,9,4,25
